format,dataset,task,trans,feature,label,l_pre,l_mp,l_post,stage,agg,epoch,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
PyG,AmazonComputers,link_pred,True,,,1,2,2,skipconcat,add,99,0.4913,0.0058,273444.0,0.4434,0.1062,0.7677,0.0028,0.6925,0.0022,0.9632,0.002,0.8057,0.0022,0.9232,0.0025
PyG,AmazonComputers,link_pred,True,,,1,2,2,skipconcat,max,99,0.4898,0.009,273444.0,0.3375,0.0195,0.7693,0.003,0.6899,0.0026,0.9783,0.001,0.8092,0.0022,0.9304,0.0048
PyG,AmazonComputers,link_pred,True,,,1,2,2,skipconcat,mean,99,0.4766,0.006,273444.0,0.3613,0.046,0.7844,0.0011,0.7063,0.0015,0.9738,0.0017,0.8187,0.0006,0.9366,0.0038
PyG,AmazonComputers,link_pred,True,,,1,2,2,skipsum,add,99,0.4866,0.0013,369409.0,0.3704,0.0504,0.7697,0.0017,0.6946,0.0017,0.9626,0.0006,0.807,0.0011,0.9217,0.0011
PyG,AmazonComputers,link_pred,True,,,1,2,2,skipsum,max,99,0.4849,0.0047,369409.0,0.4435,0.0619,0.7709,0.0041,0.6911,0.0037,0.9799,0.0013,0.8105,0.003,0.9297,0.0042
PyG,AmazonComputers,link_pred,True,,,1,2,2,skipsum,mean,99,0.4754,0.0047,369409.0,0.321,0.0268,0.7911,0.0034,0.7136,0.0033,0.9725,0.0015,0.8231,0.0025,0.9337,0.0032
PyG,AmazonComputers,link_pred,True,,,1,2,3,skipconcat,add,99,0.4772,0.0038,266337.0,0.3374,0.0065,0.7729,0.0008,0.697,0.0005,0.9655,0.0022,0.8096,0.0009,0.9295,0.0026
PyG,AmazonComputers,link_pred,True,,,1,2,3,skipconcat,max,99,0.4724,0.0031,266337.0,0.4557,0.1096,0.7806,0.0021,0.7005,0.0018,0.9801,0.0016,0.817,0.0016,0.9382,0.0027
PyG,AmazonComputers,link_pred,True,,,1,2,3,skipconcat,mean,99,0.4591,0.0006,266337.0,0.3157,0.0444,0.8,0.0027,0.7221,0.0028,0.9753,0.0016,0.8298,0.0019,0.945,0.0008
PyG,AmazonComputers,link_pred,True,,,1,2,3,skipsum,add,99,0.4851,0.0012,352828.0,0.323,0.0065,0.7753,0.0016,0.7011,0.0011,0.9596,0.0021,0.8103,0.0014,0.921,0.0004
