format,dataset,task,trans,feature,label,l_pre,l_mp,l_post,stage,agg,epoch,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
PyG,AmazonComputers,link_pred,True,,,1,2,2,skipconcat,add,97,0.4909,0.0064,273444.0,0.4127,0.0858,0.768,0.0036,0.6927,0.003,0.9632,0.002,0.8059,0.0028,0.9233,0.0029
PyG,AmazonComputers,link_pred,True,,,1,2,2,skipconcat,max,96,0.4884,0.008,273444.0,0.4351,0.0358,0.7695,0.003,0.6901,0.0026,0.9783,0.001,0.8093,0.0021,0.9311,0.0045
PyG,AmazonComputers,link_pred,True,,,1,2,2,skipconcat,mean,84,0.4752,0.0047,273444.0,0.468,0.0728,0.7852,0.0013,0.7071,0.0018,0.9737,0.0017,0.8192,0.0007,0.937,0.0032
PyG,AmazonComputers,link_pred,True,,,1,2,2,skipsum,add,99,0.4866,0.0013,369409.0,0.3704,0.0504,0.7697,0.0017,0.6946,0.0017,0.9626,0.0006,0.807,0.0011,0.9217,0.0011
PyG,AmazonComputers,link_pred,True,,,1,2,2,skipsum,max,96,0.4837,0.0049,369409.0,0.4255,0.0293,0.7728,0.0044,0.6929,0.004,0.9799,0.0013,0.8118,0.0031,0.9302,0.0044
PyG,AmazonComputers,link_pred,True,,,1,2,2,skipsum,mean,96,0.474,0.0041,369409.0,0.3221,0.0247,0.7923,0.0027,0.7148,0.0025,0.9725,0.0015,0.824,0.002,0.9343,0.0031
PyG,AmazonComputers,link_pred,True,,,1,2,3,skipconcat,add,97,0.4766,0.0038,266337.0,0.4103,0.1089,0.7732,0.0014,0.6973,0.0008,0.9655,0.0021,0.8098,0.0013,0.9298,0.0026
PyG,AmazonComputers,link_pred,True,,,1,2,3,skipconcat,max,96,0.4722,0.0037,266337.0,0.4061,0.0344,0.7801,0.0019,0.7001,0.0015,0.9801,0.0016,0.8167,0.0014,0.9384,0.0029
PyG,AmazonComputers,link_pred,True,,,1,2,3,skipconcat,mean,96,0.4583,0.0005,266337.0,0.441,0.0039,0.8003,0.0017,0.7225,0.0019,0.9753,0.0016,0.83,0.0013,0.9453,0.0009
PyG,AmazonComputers,link_pred,True,,,1,2,3,skipsum,add,99,0.4851,0.0012,352828.0,0.323,0.0065,0.7753,0.0016,0.7011,0.0011,0.9596,0.0021,0.8103,0.0014,0.921,0.0004
PyG,AmazonComputers,link_pred,True,,,1,2,3,skipsum,max,96,0.4747,0.0033,352828.0,0.3902,0.0346,0.7784,0.0045,0.6983,0.0046,0.9805,0.0004,0.8157,0.003,0.9368,0.0018
PyG,AmazonComputers,link_pred,True,,,1,2,3,skipsum,mean,96,0.4625,0.0048,352828.0,0.3707,0.0387,0.7989,0.0034,0.7213,0.0037,0.9743,0.0009,0.8289,0.0024,0.9417,0.0029
PyG,AmazonComputers,link_pred,True,,,1,4,2,skipconcat,add,90,0.4862,0.0044,247777.0,0.3702,0.0137,0.7697,0.0015,0.6949,0.0012,0.9617,0.003,0.8068,0.0013,0.9251,0.0042
PyG,AmazonComputers,link_pred,True,,,1,4,2,skipconcat,max,96,0.4789,0.0053,247777.0,0.3478,0.0553,0.7727,0.0015,0.6928,0.0011,0.9799,0.0014,0.8117,0.0012,0.9388,0.0042
