format,dataset,task,trans,feature,label,l_pre,l_mp,l_post,stage,agg,epoch,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
PyG,AmazonComputers,link_pred,True,,,1,2,3,skipsum,max,99,0.4757,0.0033,352828.0,0.3883,0.1077,0.7784,0.0044,0.6983,0.0045,0.9805,0.0004,0.8157,0.0029,0.9363,0.0018
PyG,AmazonComputers,link_pred,True,,,1,2,3,skipsum,mean,99,0.4637,0.005,352828.0,0.3275,0.0642,0.7979,0.0038,0.7202,0.004,0.9743,0.0009,0.8282,0.0026,0.9413,0.003
PyG,AmazonComputers,link_pred,True,,,1,4,2,skipconcat,add,99,0.4861,0.0042,247777.0,0.4066,0.0827,0.7692,0.0014,0.6943,0.0015,0.9618,0.0029,0.8065,0.0011,0.925,0.0042
PyG,AmazonComputers,link_pred,True,,,1,4,2,skipconcat,max,99,0.4805,0.0052,247777.0,0.3962,0.0827,0.773,0.0016,0.6931,0.0012,0.9799,0.0014,0.8119,0.0013,0.9379,0.0041
PyG,AmazonComputers,link_pred,True,,,1,4,2,skipconcat,mean,99,0.4625,0.0045,247777.0,0.4034,0.0921,0.7929,0.0026,0.715,0.0024,0.9744,0.0012,0.8247,0.002,0.9451,0.0021
PyG,AmazonComputers,link_pred,True,,,1,4,2,skipsum,add,99,0.49,0.0047,337747.0,0.3433,0.0649,0.7693,0.003,0.6956,0.0028,0.9574,0.0023,0.8058,0.0023,0.9176,0.0034
PyG,AmazonComputers,link_pred,True,,,1,4,2,skipsum,max,99,0.486,0.001,337747.0,0.3339,0.054,0.7719,0.0019,0.693,0.0019,0.9762,0.0002,0.8106,0.0012,0.9277,0.0005
PyG,AmazonComputers,link_pred,True,,,1,4,2,skipsum,mean,99,0.4612,0.0033,337747.0,0.3715,0.0917,0.8032,0.0005,0.7264,0.001,0.9727,0.0023,0.8317,0.0005,0.9423,0.0026
PyG,AmazonComputers,link_pred,True,,,1,4,3,skipconcat,add,99,0.4749,0.0041,243384.0,0.3937,0.0786,0.7752,0.0035,0.6997,0.0029,0.9644,0.0032,0.811,0.0029,0.9302,0.0034
PyG,AmazonComputers,link_pred,True,,,1,4,3,skipconcat,max,99,0.4662,0.0032,243384.0,0.3302,0.0534,0.7834,0.001,0.7028,0.0007,0.9823,0.0016,0.8194,0.0009,0.9446,0.0025
PyG,AmazonComputers,link_pred,True,,,1,4,3,skipconcat,mean,99,0.4502,0.0022,243384.0,0.4625,0.1285,0.807,0.0025,0.7292,0.0028,0.9768,0.0009,0.8351,0.0017,0.9513,0.0009
PyG,AmazonComputers,link_pred,True,,,1,4,3,skipsum,add,99,0.4827,0.0022,328945.0,0.3831,0.0623,0.7682,0.0013,0.6939,0.0013,0.9595,0.0013,0.8054,0.001,0.9222,0.0014
PyG,AmazonComputers,link_pred,True,,,1,4,3,skipsum,max,99,0.4776,0.0022,328945.0,0.4378,0.0829,0.7794,0.002,0.7002,0.0018,0.9772,0.001,0.8158,0.0015,0.9329,0.0017
PyG,AmazonComputers,link_pred,True,,,1,4,3,skipsum,mean,99,0.4529,0.0018,328945.0,0.4958,0.079,0.8095,0.0021,0.7329,0.002,0.9741,0.0016,0.8365,0.0016,0.9485,0.0018
PyG,AmazonComputers,link_pred,True,,,1,6,2,skipconcat,add,99,0.4851,0.0041,232922.0,0.4294,0.1068,0.7712,0.0012,0.6962,0.0006,0.9622,0.0027,0.8079,0.0012,0.9263,0.0022
PyG,AmazonComputers,link_pred,True,,,1,6,2,skipconcat,max,99,0.4803,0.0055,232922.0,0.42,0.0453,0.7686,0.0006,0.6893,0.0008,0.978,0.0022,0.8087,0.0005,0.9382,0.0039
PyG,AmazonComputers,link_pred,True,,,1,6,2,skipconcat,mean,99,0.4588,0.007,232922.0,0.3628,0.0439,0.7926,0.0031,0.7142,0.0029,0.9756,0.002,0.8247,0.0024,0.9479,0.0043
PyG,AmazonComputers,link_pred,True,,,1,6,2,skipsum,add,99,0.4958,0.0045,320281.0,0.4136,0.0855,0.7635,0.0031,0.692,0.0022,0.9496,0.0034,0.8006,0.0027,0.9104,0.0037
PyG,AmazonComputers,link_pred,True,,,1,6,2,skipsum,max,99,0.4852,0.0022,320281.0,0.4494,0.0561,0.7721,0.0026,0.6936,0.002,0.9748,0.002,0.8105,0.0021,0.9274,0.0025
PyG,AmazonComputers,link_pred,True,,,1,6,2,skipsum,mean,99,0.4543,0.0023,320281.0,0.4026,0.0673,0.8111,0.0022,0.7354,0.0029,0.9719,0.0024,0.8373,0.0015,0.9468,0.002
PyG,AmazonComputers,link_pred,True,,,1,6,3,skipconcat,add,99,0.478,0.0057,234361.0,0.4125,0.0892,0.7728,0.0063,0.698,0.006,0.962,0.0013,0.809,0.0045,0.9275,0.0031
PyG,AmazonComputers,link_pred,True,,,1,6,3,skipconcat,max,99,0.4628,0.0032,234361.0,0.3343,0.0824,0.7861,0.0068,0.7056,0.0075,0.9824,0.0019,0.8213,0.0044,0.9467,0.0014
PyG,AmazonComputers,link_pred,True,,,1,6,3,skipconcat,mean,99,0.4516,0.001,234361.0,0.3245,0.0544,0.8048,0.0044,0.7269,0.0047,0.9764,0.0014,0.8334,0.0032,0.9503,0.0013
PyG,AmazonComputers,link_pred,True,,,1,6,3,skipsum,add,99,0.4818,0.0031,313465.0,0.4393,0.0919,0.7656,0.0047,0.6921,0.0045,0.9569,0.0008,0.8033,0.0033,0.9214,0.0029
PyG,AmazonComputers,link_pred,True,,,1,6,3,skipsum,max,99,0.4783,0.0021,313465.0,0.4511,0.0409,0.778,0.0007,0.6991,0.0009,0.9763,0.0009,0.8148,0.0004,0.932,0.0021
PyG,AmazonComputers,link_pred,True,,,1,6,3,skipsum,mean,99,0.451,0.0021,313465.0,0.4148,0.0738,0.8157,0.0009,0.7395,0.0011,0.9748,0.0006,0.841,0.0006,0.9504,0.0018
PyG,AmazonComputers,link_pred,True,,,1,8,2,skipconcat,add,99,0.4884,0.0045,228737.0,0.2944,0.0287,0.7691,0.0013,0.6953,0.0008,0.9579,0.002,0.8058,0.0013,0.9226,0.0022
PyG,AmazonComputers,link_pred,True,,,1,8,2,skipconcat,max,99,0.4744,0.0055,228737.0,0.4135,0.0693,0.7718,0.0027,0.6922,0.0023,0.9787,0.0021,0.8109,0.0021,0.9419,0.003
PyG,AmazonComputers,link_pred,True,,,1,8,2,skipconcat,mean,99,0.4607,0.0045,228737.0,0.3737,0.1065,0.7934,0.0041,0.7154,0.0036,0.9745,0.0023,0.8251,0.0032,0.9459,0.0026
PyG,AmazonComputers,link_pred,True,,,1,8,2,skipsum,add,99,0.4933,0.0013,306321.0,0.37,0.0184,0.7636,0.0001,0.692,0.0007,0.9501,0.0024,0.8008,0.0004,0.9124,0.0018
PyG,AmazonComputers,link_pred,True,,,1,8,2,skipsum,max,99,0.4865,0.0045,306321.0,0.41,0.0254,0.7689,0.0043,0.6908,0.0035,0.9735,0.0026,0.8082,0.0033,0.9262,0.0041
PyG,AmazonComputers,link_pred,True,,,1,8,2,skipsum,mean,79,0.4529,0.0021,306321.0,0.4527,0.075,0.8121,0.001,0.7367,0.0011,0.9713,0.0007,0.8379,0.0008,0.9476,0.0012
PyG,AmazonComputers,link_pred,True,,,1,8,3,skipconcat,add,99,0.4768,0.0028,225802.0,0.399,0.0565,0.7753,0.0035,0.7008,0.0035,0.9609,0.0006,0.8105,0.0025,0.9274,0.0017
PyG,AmazonComputers,link_pred,True,,,1,8,3,skipconcat,max,99,0.4628,0.003,225802.0,0.386,0.0421,0.7804,0.0017,0.6998,0.0016,0.9821,0.0004,0.8173,0.0012,0.9471,0.0015
PyG,AmazonComputers,link_pred,True,,,1,8,3,skipconcat,mean,79,0.451,0.0029,225802.0,0.4379,0.0365,0.8058,0.0026,0.7282,0.0029,0.9761,0.0019,0.8341,0.0019,0.9506,0.0021
PyG,AmazonComputers,link_pred,True,,,1,8,3,skipsum,add,99,0.4931,0.0034,303377.0,0.4221,0.04,0.7604,0.0033,0.6899,0.0024,0.9461,0.0039,0.7979,0.0028,0.9106,0.0037
PyG,AmazonComputers,link_pred,True,,,1,8,3,skipsum,max,99,0.4757,0.0017,303377.0,0.4814,0.1207,0.781,0.003,0.7018,0.0029,0.9773,0.0008,0.8169,0.0021,0.9346,0.001
PyG,AmazonComputers,link_pred,True,,,1,8,3,skipsum,mean,79,0.4519,0.0024,303377.0,0.469,0.1131,0.8144,0.0038,0.7391,0.0045,0.9718,0.0005,0.8396,0.0028,0.948,0.0014
PyG,AmazonComputers,link_pred,True,,,2,2,2,skipconcat,add,99,0.4761,0.0047,273031.0,0.3635,0.0752,0.7739,0.0022,0.6968,0.0018,0.9697,0.0015,0.8109,0.0017,0.9347,0.0028
PyG,AmazonComputers,link_pred,True,,,2,2,2,skipconcat,max,99,0.4795,0.0012,273031.0,0.3247,0.0466,0.7759,0.0011,0.6961,0.0011,0.9793,0.0005,0.8138,0.0007,0.9364,0.0007
PyG,AmazonComputers,link_pred,True,,,2,2,2,skipconcat,mean,99,0.4637,0.0052,273031.0,0.3878,0.0733,0.7915,0.0045,0.7124,0.0046,0.9777,0.0008,0.8242,0.0032,0.9445,0.0031
PyG,AmazonComputers,link_pred,True,,,2,2,2,skipsum,add,99,0.4834,0.0036,352828.0,0.3872,0.0437,0.774,0.0018,0.6988,0.0016,0.9633,0.0008,0.81,0.0014,0.9243,0.0025
PyG,AmazonComputers,link_pred,True,,,2,2,2,skipsum,max,99,0.4804,0.0009,352828.0,0.378,0.0487,0.7758,0.0026,0.6959,0.0028,0.9799,0.0008,0.8138,0.0017,0.9333,0.001
PyG,AmazonComputers,link_pred,True,,,2,2,2,skipsum,mean,99,0.4628,0.0028,352828.0,0.3184,0.007,0.7993,0.0036,0.7218,0.0038,0.9741,0.0011,0.8292,0.0026,0.9423,0.0025
PyG,AmazonComputers,link_pred,True,,,2,2,3,skipconcat,add,99,0.4627,0.005,261601.0,0.3763,0.0756,0.782,0.004,0.7036,0.0037,0.9747,0.0014,0.8172,0.003,0.9421,0.0037
PyG,AmazonComputers,link_pred,True,,,2,2,3,skipconcat,max,99,0.4695,0.0013,261601.0,0.346,0.0308,0.786,0.0024,0.7058,0.0027,0.9808,0.001,0.8209,0.0015,0.9408,0.0011
PyG,AmazonComputers,link_pred,True,,,2,2,3,skipconcat,mean,99,0.453,0.0034,261601.0,0.3867,0.099,0.7998,0.002,0.7203,0.002,0.9803,0.0007,0.8304,0.0015,0.9511,0.0025
PyG,AmazonComputers,link_pred,True,,,2,2,3,skipsum,add,99,0.4768,0.0022,337747.0,0.3533,0.033,0.7772,0.0007,0.7013,0.0007,0.9656,0.0013,0.8125,0.0006,0.9286,0.0011
PyG,AmazonComputers,link_pred,True,,,2,2,3,skipsum,max,99,0.4703,0.0021,337747.0,0.3805,0.0451,0.7837,0.0005,0.7033,0.0007,0.9815,0.0009,0.8194,0.0003,0.9402,0.0017
PyG,AmazonComputers,link_pred,True,,,2,2,3,skipsum,mean,99,0.4562,0.0014,337747.0,0.3269,0.0496,0.8057,0.0007,0.7286,0.0009,0.9743,0.0016,0.8337,0.0005,0.9461,0.0019
PyG,AmazonComputers,link_pred,True,,,2,4,2,skipconcat,add,99,0.4773,0.0043,243448.0,0.3062,0.0453,0.7739,0.0022,0.6978,0.0017,0.966,0.002,0.8103,0.0018,0.9325,0.0023
PyG,AmazonComputers,link_pred,True,,,2,4,2,skipconcat,max,99,0.4751,0.002,243448.0,0.3477,0.0171,0.7787,0.0011,0.6991,0.001,0.9789,0.0008,0.8157,0.0008,0.9404,0.0019
PyG,AmazonComputers,link_pred,True,,,2,4,2,skipconcat,mean,99,0.4582,0.0043,243448.0,0.3647,0.0656,0.7949,0.0051,0.7163,0.0052,0.9769,0.0006,0.8265,0.0036,0.9481,0.0017
PyG,AmazonComputers,link_pred,True,,,2,4,2,skipsum,add,99,0.4871,0.0028,328945.0,0.3747,0.028,0.7702,0.0025,0.6963,0.0022,0.9583,0.0012,0.8066,0.0018,0.9195,0.0021
PyG,AmazonComputers,link_pred,True,,,2,4,2,skipsum,max,99,0.4822,0.0037,328945.0,0.4299,0.1007,0.7728,0.0038,0.6936,0.0031,0.9776,0.0022,0.8114,0.0029,0.9309,0.0036
PyG,AmazonComputers,link_pred,True,,,2,4,2,skipsum,mean,99,0.4582,0.0012,328945.0,0.4275,0.0536,0.8058,0.0026,0.7295,0.0031,0.9719,0.0004,0.8334,0.0018,0.9442,0.0009
PyG,AmazonComputers,link_pred,True,,,2,4,3,skipconcat,add,99,0.4682,0.0018,236737.0,0.4168,0.1139,0.7793,0.0006,0.7019,0.0008,0.9709,0.0006,0.8148,0.0004,0.9371,0.0019
PyG,AmazonComputers,link_pred,True,,,2,4,3,skipconcat,max,99,0.4623,0.0033,236737.0,0.3667,0.0688,0.7852,0.0067,0.7046,0.0069,0.9825,0.0007,0.8207,0.0045,0.9475,0.0021
PyG,AmazonComputers,link_pred,True,,,2,4,3,skipconcat,mean,99,0.4533,0.0014,236737.0,0.4046,0.0263,0.8037,0.0022,0.7257,0.0031,0.9767,0.0019,0.8326,0.0013,0.9498,0.0012
PyG,AmazonComputers,link_pred,True,,,2,4,3,skipsum,add,79,0.4844,0.0008,320281.0,0.4,0.0831,0.7682,0.0021,0.6946,0.0029,0.9573,0.0025,0.805,0.001,0.9198,0.0012
PyG,AmazonComputers,link_pred,True,,,2,4,3,skipsum,max,99,0.4732,0.0046,320281.0,0.3559,0.0554,0.7811,0.0035,0.7015,0.003,0.9787,0.0022,0.8172,0.0027,0.9367,0.004
PyG,AmazonComputers,link_pred,True,,,2,4,3,skipsum,mean,79,0.45,0.0016,320281.0,0.4509,0.0901,0.8127,0.0012,0.7363,0.0017,0.9742,0.0011,0.8387,0.0007,0.951,0.0008
PyG,AmazonComputers,link_pred,True,,,2,6,2,skipconcat,add,99,0.4851,0.007,234685.0,0.389,0.0655,0.7706,0.0029,0.696,0.0021,0.9611,0.0029,0.8073,0.0024,0.9263,0.0037
PyG,AmazonComputers,link_pred,True,,,2,6,2,skipconcat,max,99,0.4747,0.0038,234685.0,0.392,0.0692,0.7721,0.003,0.6922,0.0025,0.9798,0.0018,0.8113,0.0023,0.9416,0.0027
PyG,AmazonComputers,link_pred,True,,,2,6,2,skipconcat,mean,99,0.4607,0.0012,234685.0,0.3913,0.0346,0.7924,0.0013,0.7144,0.0016,0.9746,0.0008,0.8244,0.0008,0.9468,0.0001
PyG,AmazonComputers,link_pred,True,,,2,6,2,skipsum,add,99,0.4926,0.0023,313465.0,0.3726,0.0576,0.7643,0.0031,0.6923,0.0028,0.9514,0.002,0.8015,0.0023,0.913,0.0021
PyG,AmazonComputers,link_pred,True,,,2,6,2,skipsum,max,99,0.4822,0.0009,313465.0,0.397,0.0219,0.775,0.001,0.696,0.0011,0.9764,0.0009,0.8127,0.0006,0.9302,0.0005
PyG,AmazonComputers,link_pred,True,,,2,6,2,skipsum,mean,79,0.4522,0.0012,313465.0,0.431,0.0401,0.8104,0.0023,0.7343,0.0029,0.9729,0.0017,0.8369,0.0015,0.9489,0.001
PyG,AmazonComputers,link_pred,True,,,2,6,3,skipconcat,add,99,0.47,0.004,235656.0,0.3543,0.0209,0.7774,0.0014,0.701,0.001,0.9673,0.0013,0.8129,0.0011,0.9347,0.0028
PyG,AmazonComputers,link_pred,True,,,2,6,3,skipconcat,max,99,0.4644,0.0075,235656.0,0.3398,0.03,0.7854,0.0092,0.7051,0.0094,0.9815,0.0003,0.8206,0.0063,0.9453,0.0039
PyG,AmazonComputers,link_pred,True,,,2,6,3,skipconcat,mean,99,0.4478,0.0011,235656.0,0.3215,0.0372,0.8074,0.0014,0.7298,0.0014,0.9764,0.0007,0.8353,0.0011,0.9524,0.0011
PyG,AmazonComputers,link_pred,True,,,2,6,3,skipsum,add,99,0.4819,0.0029,306321.0,0.3692,0.0372,0.7648,0.0027,0.6907,0.0022,0.959,0.0016,0.803,0.002,0.9225,0.0026
PyG,AmazonComputers,link_pred,True,,,2,6,3,skipsum,max,99,0.4759,0.003,306321.0,0.4597,0.0748,0.7816,0.003,0.7022,0.0029,0.9779,0.0012,0.8174,0.0021,0.9347,0.0029
PyG,AmazonComputers,link_pred,True,,,2,6,3,skipsum,mean,99,0.4481,0.0016,306321.0,0.3606,0.0093,0.816,0.0017,0.7401,0.0018,0.9741,0.0007,0.8411,0.0012,0.9522,0.0012
PyG,AmazonComputers,link_pred,True,,,2,8,2,skipconcat,add,99,0.487,0.0046,229825.0,0.3415,0.0174,0.77,0.0023,0.6962,0.0019,0.9583,0.003,0.8065,0.002,0.9239,0.0025
PyG,AmazonComputers,link_pred,True,,,2,8,2,skipconcat,max,99,0.4759,0.005,229825.0,0.3943,0.0647,0.7712,0.0027,0.6915,0.0023,0.9794,0.0015,0.8106,0.002,0.9413,0.0031
PyG,AmazonComputers,link_pred,True,,,2,8,2,skipconcat,mean,99,0.4576,0.0031,229825.0,0.408,0.0296,0.7955,0.0016,0.7175,0.0015,0.9749,0.0011,0.8266,0.0012,0.9476,0.0016
PyG,AmazonComputers,link_pred,True,,,2,8,2,skipsum,add,79,0.4887,0.0038,303377.0,0.412,0.0506,0.7659,0.0003,0.6926,0.0005,0.9563,0.0029,0.8034,0.0007,0.9178,0.0034
PyG,AmazonComputers,link_pred,True,,,2,8,2,skipsum,max,99,0.4832,0.007,303377.0,0.4928,0.1105,0.7732,0.0046,0.6946,0.0041,0.9751,0.0021,0.8113,0.0034,0.9286,0.0053
PyG,AmazonComputers,link_pred,True,,,2,8,2,skipsum,mean,99,0.4515,0.001,303377.0,0.3613,0.0177,0.809,0.0009,0.7327,0.0013,0.9729,0.0008,0.8359,0.0006,0.9494,0.0003
PyG,AmazonComputers,link_pred,True,,,2,8,3,skipconcat,add,79,0.4767,0.0015,226585.0,0.4049,0.1021,0.7767,0.0015,0.7023,0.0018,0.9602,0.0013,0.8113,0.0009,0.9276,0.0022
PyG,AmazonComputers,link_pred,True,,,2,8,3,skipconcat,max,99,0.461,0.005,226585.0,0.379,0.0102,0.7882,0.0051,0.708,0.0056,0.9811,0.0013,0.8225,0.0034,0.9475,0.0023
PyG,AmazonComputers,link_pred,True,,,2,8,3,skipconcat,mean,99,0.4495,0.0027,226585.0,0.4215,0.0709,0.8073,0.0034,0.7295,0.0037,0.9769,0.0,0.8353,0.0024,0.9518,0.0014
PyG,AmazonComputers,link_pred,True,,,2,8,3,skipsum,add,59,0.4889,0.0015,297985.0,0.4099,0.0874,0.7626,0.0025,0.6902,0.0018,0.9532,0.0031,0.8007,0.0022,0.9158,0.003
PyG,AmazonComputers,link_pred,True,,,2,8,3,skipsum,max,99,0.4762,0.0022,297985.0,0.3973,0.0407,0.78,0.0019,0.7009,0.002,0.9769,0.0005,0.8162,0.0012,0.9335,0.0017
PyG,AmazonComputers,link_pred,True,,,2,8,3,skipsum,mean,79,0.4505,0.0005,297985.0,0.4148,0.0269,0.8149,0.0034,0.7391,0.004,0.9733,0.0006,0.8402,0.0024,0.9498,0.0004
PyG,AmazonPhoto,link_pred,True,,,1,2,2,skipconcat,add,99,0.4663,0.0009,271310.0,0.1617,0.0253,0.7831,0.003,0.703,0.0033,0.9805,0.001,0.8189,0.0019,0.9457,0.0008
PyG,AmazonPhoto,link_pred,True,,,1,2,2,skipconcat,max,99,0.461,0.003,271310.0,0.139,0.0142,0.7873,0.0021,0.7044,0.0021,0.9899,0.0004,0.8231,0.0015,0.9518,0.0016
PyG,AmazonPhoto,link_pred,True,,,1,2,2,skipconcat,mean,99,0.4592,0.0028,271310.0,0.1429,0.0091,0.7995,0.0016,0.7179,0.0018,0.9867,0.0002,0.8311,0.0011,0.9522,0.0012
PyG,AmazonPhoto,link_pred,True,,,1,2,2,skipsum,add,99,0.4645,0.0022,364525.0,0.1878,0.0326,0.7876,0.0014,0.7073,0.0016,0.9812,0.0005,0.822,0.0009,0.9444,0.0017
PyG,AmazonPhoto,link_pred,True,,,1,2,2,skipsum,max,99,0.465,0.004,364525.0,0.1658,0.0185,0.7856,0.002,0.703,0.0018,0.9891,0.0006,0.8218,0.0015,0.9469,0.0034
PyG,AmazonPhoto,link_pred,True,,,1,2,2,skipsum,mean,99,0.4542,0.0037,364525.0,0.1366,0.0121,0.8114,0.0021,0.7305,0.0024,0.9867,0.0007,0.8395,0.0014,0.9516,0.0022
PyG,AmazonPhoto,link_pred,True,,,1,2,3,skipconcat,add,99,0.4512,0.0004,264533.0,0.1297,0.0012,0.7947,0.0031,0.714,0.0034,0.9831,0.002,0.8272,0.0021,0.952,0.0004
PyG,AmazonPhoto,link_pred,True,,,1,2,3,skipconcat,max,99,0.4506,0.0026,264533.0,0.1511,0.0135,0.8002,0.003,0.7176,0.0031,0.9901,0.0007,0.8321,0.0021,0.9558,0.0018
PyG,AmazonPhoto,link_pred,True,,,1,2,3,skipconcat,mean,99,0.4448,0.0031,264533.0,0.1384,0.011,0.8145,0.0033,0.7337,0.0032,0.9875,0.0014,0.8419,0.0025,0.9573,0.0027
PyG,AmazonPhoto,link_pred,True,,,1,2,3,skipsum,add,99,0.4573,0.0038,348450.0,0.1406,0.0202,0.7921,0.0008,0.7114,0.0007,0.9829,0.0012,0.8254,0.0007,0.9483,0.0034
PyG,AmazonPhoto,link_pred,True,,,1,2,3,skipsum,max,99,0.4563,0.0004,348450.0,0.1496,0.0087,0.796,0.0052,0.7133,0.0056,0.9899,0.0007,0.8291,0.0036,0.9522,0.0017
PyG,AmazonPhoto,link_pred,True,,,1,2,3,skipsum,mean,99,0.4424,0.0021,348450.0,0.1356,0.0133,0.8202,0.003,0.7396,0.0035,0.9884,0.0004,0.8461,0.0022,0.959,0.0018
PyG,AmazonPhoto,link_pred,True,,,1,4,2,skipconcat,add,99,0.4595,0.0045,246501.0,0.1371,0.0067,0.7867,0.003,0.7068,0.0029,0.9799,0.001,0.8212,0.0022,0.9485,0.0017
PyG,AmazonPhoto,link_pred,True,,,1,4,2,skipconcat,max,99,0.4541,0.0035,246501.0,0.1417,0.0147,0.7872,0.0024,0.7041,0.0025,0.9907,0.0004,0.8232,0.0016,0.9584,0.0015
PyG,AmazonPhoto,link_pred,True,,,1,4,2,skipconcat,mean,99,0.4435,0.0023,246501.0,0.1597,0.0212,0.8092,0.0023,0.7281,0.0026,0.9871,0.0003,0.838,0.0016,0.96,0.0012
PyG,AmazonPhoto,link_pred,True,,,1,4,2,skipsum,add,99,0.4611,0.0023,333765.0,0.1495,0.0156,0.7867,0.0017,0.7062,0.0017,0.9817,0.0014,0.8215,0.0012,0.9456,0.0019
PyG,AmazonPhoto,link_pred,True,,,1,4,2,skipsum,max,99,0.4622,0.0028,333765.0,0.1753,0.0465,0.7893,0.0019,0.7066,0.0019,0.9894,0.0004,0.8244,0.0013,0.9488,0.0024
PyG,AmazonPhoto,link_pred,True,,,1,4,2,skipsum,mean,99,0.4404,0.003,333765.0,0.1354,0.0052,0.8221,0.0045,0.7425,0.0046,0.9863,0.0013,0.8472,0.0034,0.96,0.0019
PyG,AmazonPhoto,link_pred,True,,,1,4,3,skipconcat,add,79,0.4504,0.0016,242306.0,0.1491,0.0359,0.7944,0.0018,0.7141,0.0021,0.982,0.0009,0.8268,0.0011,0.9523,0.0009
PyG,AmazonPhoto,link_pred,True,,,1,4,3,skipconcat,max,99,0.4416,0.002,242306.0,0.1431,0.0297,0.8034,0.0035,0.7206,0.0038,0.9912,0.0005,0.8345,0.0024,0.9626,0.0007
PyG,AmazonPhoto,link_pred,True,,,1,4,3,skipconcat,mean,99,0.4369,0.0025,242306.0,0.1651,0.055,0.8207,0.0016,0.7401,0.0013,0.9886,0.0015,0.8465,0.0013,0.9625,0.0022
PyG,AmazonPhoto,link_pred,True,,,1,4,3,skipsum,add,99,0.457,0.005,325249.0,0.1364,0.0085,0.7886,0.0059,0.7079,0.0052,0.9826,0.0032,0.8229,0.0045,0.9484,0.0045
PyG,AmazonPhoto,link_pred,True,,,1,4,3,skipsum,max,99,0.4512,0.0004,325249.0,0.1647,0.0107,0.8035,0.0019,0.7211,0.0021,0.9897,0.0007,0.8343,0.0014,0.9549,0.001
PyG,AmazonPhoto,link_pred,True,,,1,4,3,skipsum,mean,99,0.4345,0.0025,325249.0,0.1486,0.0251,0.8328,0.0017,0.7542,0.0017,0.9874,0.0012,0.8552,0.0013,0.9633,0.0016
PyG,AmazonPhoto,link_pred,True,,,1,6,2,skipconcat,add,99,0.4579,0.0006,232020.0,0.1502,0.0091,0.7856,0.0008,0.7055,0.0008,0.9803,0.0022,0.8205,0.0007,0.9503,0.0019
PyG,AmazonPhoto,link_pred,True,,,1,6,2,skipconcat,max,99,0.4516,0.0033,232020.0,0.1577,0.0074,0.7833,0.0007,0.7,0.0008,0.9914,0.0002,0.8206,0.0005,0.9607,0.0023
