sample,format,dataset,task,trans,feature,label,batch,l_pre,l_mp,l_post,stage,bn,act,drop,agg,optim,lr,epoch,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
act,PyG,AmazonComputers,node,True,,,32,2,2,1,skipconcat,False,prelu,0.6,max,sgd,0.1,99,1.8684,0.0014,278289.0,0.1413,0.0119,0.3766,0.0019,,,,,,,,
act,PyG,AmazonComputers,node,True,,,32,2,2,1,skipconcat,False,relu,0.6,max,sgd,0.1,99,1.8686,0.0012,278288.0,0.1297,0.0163,0.3766,0.0019,,,,,,,,
act,PyG,AmazonComputers,node,True,,,32,2,2,1,skipconcat,False,swish,0.6,max,sgd,0.1,99,1.8685,0.0011,278288.0,0.1197,0.0006,0.3766,0.0019,,,,,,,,
act,PyG,AmazonPhoto,node,True,,,16,1,6,2,skipconcat,True,prelu,0.0,max,adam,0.01,99,0.0069,0.0005,172005.0,0.0513,0.0013,0.9998,0.0001,,,,,,,,
act,PyG,AmazonPhoto,node,True,,,16,1,6,2,skipconcat,True,relu,0.0,max,adam,0.01,99,0.0052,0.0004,172004.0,0.0561,0.0074,1.0,0.0,,,,,,,,
act,PyG,AmazonPhoto,node,True,,,16,1,6,2,skipconcat,True,swish,0.0,max,adam,0.01,99,0.021,0.0032,172004.0,0.0514,0.0026,0.9961,0.0009,,,,,,,,
act,PyG,AmazonPhoto,node,True,,,16,1,8,1,skipconcat,True,prelu,0.3,mean,sgd,0.1,399,0.2623,0.0029,184900.0,0.0674,0.0012,0.9394,0.0013,,,,,,,,
act,PyG,AmazonPhoto,node,True,,,16,1,8,1,skipconcat,True,relu,0.3,mean,sgd,0.1,399,0.306,0.0021,184899.0,0.1198,0.0165,0.9351,0.0007,,,,,,,,
act,PyG,AmazonPhoto,node,True,,,16,1,8,1,skipconcat,True,swish,0.3,mean,sgd,0.1,399,0.2858,0.0014,184899.0,0.0647,0.0097,0.9359,0.0024,,,,,,,,
act,PyG,AmazonPhoto,node,True,,,32,2,2,1,skipsum,True,prelu,0.3,max,adam,0.1,399,0.0313,0.0008,290101.0,0.0623,0.0086,0.9982,0.0004,,,,,,,,
act,PyG,AmazonPhoto,node,True,,,32,2,2,1,skipsum,True,relu,0.3,max,adam,0.1,399,0.0452,0.003,290100.0,0.0705,0.0099,0.9948,0.0009,,,,,,,,
act,PyG,AmazonPhoto,node,True,,,32,2,2,1,skipsum,True,swish,0.3,max,adam,0.1,399,0.0298,0.0006,290100.0,0.0883,0.0095,0.999,0.0002,,,,,,,,
act,PyG,CiteSeer,node,True,,,16,1,2,1,skipconcat,True,prelu,0.6,mean,sgd,0.01,199,1.7101,0.0038,909993.0,0.0954,0.0077,0.3198,0.0092,,,,,,,,
act,PyG,CiteSeer,node,True,,,16,1,2,1,skipconcat,True,relu,0.6,mean,sgd,0.01,199,1.7239,0.0024,909992.0,0.13,0.0474,0.2839,0.0012,,,,,,,,
act,PyG,CiteSeer,node,True,,,16,1,2,1,skipconcat,True,swish,0.6,mean,sgd,0.01,199,1.7223,0.0029,909992.0,0.1035,0.0172,0.2901,0.0032,,,,,,,,
act,PyG,CiteSeer,node,True,,,16,2,2,2,stack,True,prelu,0.0,add,adam,0.001,199,0.0588,0.0038,804190.0,0.1096,0.0143,0.9702,0.0018,,,,,,,,
act,PyG,CiteSeer,node,True,,,16,2,2,2,stack,True,relu,0.0,add,adam,0.001,199,0.0584,0.0036,804189.0,0.0959,0.015,0.9702,0.0018,,,,,,,,
act,PyG,CiteSeer,node,True,,,16,2,2,2,stack,True,swish,0.0,add,adam,0.001,199,0.0583,0.0037,804189.0,0.1359,0.0494,0.9702,0.0018,,,,,,,,
act,PyG,CiteSeer,node,True,,,32,2,8,1,skipsum,True,prelu,0.3,max,adam,0.1,199,0.0225,0.0016,582985.0,0.1206,0.0058,0.9984,0.0005,,,,,,,,
act,PyG,CiteSeer,node,True,,,32,2,8,1,skipsum,True,relu,0.3,max,adam,0.1,199,0.0347,0.0044,582984.0,0.1382,0.0253,0.9952,0.0017,,,,,,,,
act,PyG,CiteSeer,node,True,,,32,2,8,1,skipsum,True,swish,0.3,max,adam,0.1,199,0.0288,0.002,582984.0,0.0988,0.0061,0.9974,0.0006,,,,,,,,
act,PyG,CoauthorCS,node,True,,,16,2,6,2,stack,True,prelu,0.3,max,adam,0.1,199,0.3029,0.0606,1006352.0,0.9448,0.0413,0.9106,0.0174,,,,,,,,
act,PyG,CoauthorCS,node,True,,,16,2,6,2,stack,True,relu,0.3,max,adam,0.1,199,0.4066,0.0877,1006351.0,1.011,0.0964,0.8822,0.0288,,,,,,,,
act,PyG,CoauthorCS,node,True,,,16,2,6,2,stack,True,swish,0.3,max,adam,0.1,199,0.3708,0.1118,1006351.0,0.8977,0.0643,0.8886,0.0358,,,,,,,,
