format,dataset,task,trans,feature,label,l_pre,l_mp,l_post,stage,agg,epoch,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
PyG,AmazonComputers,node,True,,,1,2,2,skipconcat,add,399,0.0028,0.0015,217256.0,0.1662,0.0074,1.0,0.0,,,,,,,,
PyG,AmazonComputers,node,True,,,1,2,2,skipconcat,max,399,0.0017,0.0007,217256.0,0.1082,0.0195,1.0,0.0,,,,,,,,
PyG,AmazonComputers,node,True,,,1,2,2,skipconcat,mean,399,0.0024,0.0011,217256.0,0.1081,0.0028,1.0,0.0,,,,,,,,
PyG,AmazonComputers,node,True,,,1,2,2,skipsum,add,399,0.0021,0.0007,295119.0,0.1479,0.0166,1.0,0.0,,,,,,,,
PyG,AmazonComputers,node,True,,,1,2,2,skipsum,max,399,0.0017,0.0004,295119.0,0.136,0.0081,1.0,0.0,,,,,,,,
PyG,AmazonComputers,node,True,,,1,2,2,skipsum,mean,399,0.0023,0.0007,295119.0,0.1279,0.0011,1.0,0.0,,,,,,,,
PyG,AmazonComputers,node,True,,,1,2,3,skipconcat,add,399,0.0018,0.0007,199611.0,0.1202,0.0088,1.0,0.0,,,,,,,,
PyG,AmazonComputers,node,True,,,1,2,3,skipconcat,max,399,0.0016,0.0005,199611.0,0.1557,0.002,1.0,0.0,,,,,,,,
PyG,AmazonComputers,node,True,,,1,2,3,skipconcat,mean,399,0.0028,0.0021,199611.0,0.1143,0.0029,0.9999,0.0001,,,,,,,,
PyG,AmazonComputers,node,True,,,1,2,3,skipsum,add,399,0.0038,0.0031,273502.0,0.1869,0.0078,0.9999,0.0002,,,,,,,,
PyG,AmazonComputers,node,True,,,1,2,3,skipsum,max,399,0.0018,0.0003,273502.0,0.1709,0.0267,1.0,0.0,,,,,,,,
PyG,AmazonComputers,node,True,,,1,2,3,skipsum,mean,399,0.0015,0.0003,273502.0,0.1719,0.0283,1.0,0.0,,,,,,,,
PyG,AmazonComputers,node,True,,,1,4,2,skipconcat,add,399,0.0019,0.0001,186445.0,0.2082,0.0112,1.0,0.0,,,,,,,,
