sample,format,dataset,task,trans,feature,label,l_t,l_pre,l_mp,l_post,stage,bn,act,drop,agg,optim,lr,epoch,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
l_t,PyG,AmazonComputers,node,True,,,gaddconv,1,8,1,stack,True,swish,0.6,mean,adam,0.001,99,1.9156,0.002,232039.0,0.3936,0.0121,0.3748,0.002,,,,,,,,
l_t,PyG,AmazonComputers,node,True,,,gaddconv,2,2,2,stack,False,swish,0.6,add,adam,0.1,199,1.8684,0.0043,275558.0,0.1595,0.0042,0.3763,0.0015,,,,,,,,
l_t,PyG,AmazonComputers,node,True,,,gaddconv,2,2,3,skipsum,False,prelu,0.6,add,sgd,0.001,99,2.155,0.0169,258725.0,0.1732,0.0059,0.267,0.0184,,,,,,,,
l_t,PyG,AmazonComputers,node,True,,,gaddconv,3,8,3,skipconcat,False,relu,0.0,add,sgd,0.1,399,1.2456,0.7112,158662.0,0.1863,0.0108,0.58,0.2515,,,,,,,,
l_t,PyG,AmazonComputers,node,True,,,generalconv,1,8,1,stack,True,swish,0.6,mean,adam,0.001,99,1.3754,0.0053,232842.0,0.16,0.0061,0.7991,0.0004,,,,,,,,
l_t,PyG,AmazonComputers,node,True,,,generalconv,2,2,2,stack,False,swish,0.6,add,adam,0.1,199,1.871,0.0028,274830.0,0.1062,0.0134,0.3766,0.0019,,,,,,,,
l_t,PyG,AmazonComputers,node,True,,,generalconv,2,2,3,skipsum,False,prelu,0.6,add,sgd,0.001,99,2.1254,0.0033,260485.0,0.0991,0.0027,0.278,0.0042,,,,,,,,
l_t,PyG,AmazonComputers,node,True,,,generalconv,3,8,3,skipconcat,False,relu,0.0,add,sgd,0.1,399,1.8603,0.0045,158246.0,0.0947,0.0046,0.3766,0.0019,,,,,,,,
l_t,PyG,AmazonComputers,node,True,,,gmulconv,1,8,1,stack,True,swish,0.6,mean,adam,0.001,99,1.925,0.0017,233866.0,0.3042,0.005,0.3735,0.0019,,,,,,,,
l_t,PyG,AmazonComputers,node,True,,,gmulconv,2,2,2,stack,False,swish,0.6,add,adam,0.1,199,1.8712,0.0014,275194.0,0.1742,0.026,0.3765,0.0019,,,,,,,,
l_t,PyG,AmazonComputers,node,True,,,gmulconv,2,2,3,skipsum,False,prelu,0.6,add,sgd,0.001,99,2.1764,0.024,260811.0,0.1789,0.0112,0.2352,0.018,,,,,,,,
l_t,PyG,AmazonComputers,node,True,,,gmulconv,3,8,3,skipconcat,False,relu,0.0,add,sgd,0.1,399,,,158454.0,0.1641,0.0129,0.371,0.2757,,,,,,,,
l_t,PyG,AmazonPhoto,node,True,,,gaddconv,1,2,1,skipconcat,True,relu,0.0,mean,adam,0.1,399,0.0408,0.0017,293862.0,0.0764,0.0002,0.9965,0.0005,,,,,,,,
l_t,PyG,AmazonPhoto,node,True,,,gaddconv,3,2,2,skipconcat,False,swish,0.3,mean,adam,0.001,399,0.035,0.0031,207491.0,0.0441,0.0004,0.9948,0.0016,,,,,,,,
l_t,PyG,AmazonPhoto,node,True,,,gaddconv,3,4,1,skipsum,True,relu,0.0,max,adam,0.01,99,0.1682,0.0435,243587.0,0.1281,0.0068,0.9846,0.0103,,,,,,,,
l_t,PyG,AmazonPhoto,node,True,,,gaddconv,3,6,1,skipconcat,True,swish,0.3,add,sgd,0.1,199,0.5355,0.0108,196012.0,0.1067,0.0034,0.8913,0.0016,,,,,,,,
l_t,PyG,AmazonPhoto,node,True,,,generalconv,1,2,1,skipconcat,True,relu,0.0,mean,adam,0.1,399,0.0403,0.0053,293026.0,0.0446,0.0061,0.9964,0.001,,,,,,,,
l_t,PyG,AmazonPhoto,node,True,,,generalconv,3,2,2,skipconcat,False,swish,0.3,mean,adam,0.001,399,0.0408,0.0016,210610.0,0.034,0.0015,0.993,0.0008,,,,,,,,
l_t,PyG,AmazonPhoto,node,True,,,generalconv,3,4,1,skipsum,True,relu,0.0,max,adam,0.01,99,0.1176,0.001,244948.0,0.0604,0.0017,0.9965,0.0003,,,,,,,,
l_t,PyG,AmazonPhoto,node,True,,,generalconv,3,6,1,skipconcat,True,swish,0.3,add,sgd,0.1,199,0.7704,0.0193,195100.0,0.0769,0.007,0.8257,0.0074,,,,,,,,
l_t,PyG,AmazonPhoto,node,True,,,gmulconv,1,2,1,skipconcat,True,relu,0.0,mean,adam,0.1,399,0.0372,0.0046,293444.0,0.0767,0.0065,0.9971,0.0006,,,,,,,,
l_t,PyG,AmazonPhoto,node,True,,,gmulconv,3,2,2,skipconcat,False,swish,0.3,mean,adam,0.001,399,0.036,0.0027,210806.0,0.0533,0.0029,0.9945,0.0003,,,,,,,,
l_t,PyG,AmazonPhoto,node,True,,,gmulconv,3,4,1,skipsum,True,relu,0.0,max,adam,0.01,99,0.4318,0.0349,245540.0,0.107,0.0024,0.9015,0.015,,,,,,,,
l_t,PyG,AmazonPhoto,node,True,,,gmulconv,3,6,1,skipconcat,True,swish,0.3,add,sgd,0.1,199,0.8756,0.1239,195556.0,0.0888,0.0007,0.7918,0.0746,,,,,,,,
l_t,PyG,CiteSeer,node,True,,,gaddconv,1,2,2,stack,True,relu,0.0,mean,sgd,0.1,399,0.058,0.0035,908738.0,0.0862,0.0043,0.9703,0.0017,,,,,,,,
l_t,PyG,CiteSeer,node,True,,,gaddconv,1,8,1,stack,False,swish,0.3,max,adam,0.1,99,1.664,0.1179,609030.0,0.1073,0.0134,0.2731,0.078,,,,,,,,
l_t,PyG,CiteSeer,node,True,,,generalconv,1,2,2,stack,True,relu,0.0,mean,sgd,0.1,399,0.058,0.0035,907902.0,0.0845,0.0044,0.9702,0.0018,,,,,,,,
l_t,PyG,CiteSeer,node,True,,,generalconv,1,8,1,stack,False,swish,0.3,max,adam,0.1,99,1.5599,0.1034,612756.0,0.0853,0.007,0.351,0.0482,,,,,,,,
l_t,PyG,CiteSeer,node,True,,,gmulconv,1,2,2,stack,True,relu,0.0,mean,sgd,0.1,399,0.0567,0.0028,908320.0,0.0824,0.0067,0.9716,0.0018,,,,,,,,
l_t,PyG,CiteSeer,node,True,,,gmulconv,1,8,1,stack,False,swish,0.3,max,adam,0.1,99,1.7369,0.0075,608006.0,0.0933,0.0042,0.2244,0.0073,,,,,,,,
l_t,PyG,CoauthorCS,node,True,,,gaddconv,2,2,3,skipsum,True,swish,0.6,add,sgd,0.01,399,1.1787,0.0539,1238667.0,0.6879,0.0449,0.6357,0.02,,,,,,,,
l_t,PyG,CoauthorCS,node,True,,,gaddconv,2,4,2,stack,False,relu,0.3,add,adam,0.1,399,2.3376,0.1018,1143019.0,0.6819,0.0123,0.2401,0.0211,,,,,,,,
l_t,PyG,CoauthorCS,node,True,,,generalconv,2,2,3,skipsum,True,swish,0.6,add,sgd,0.01,399,1.0657,0.0187,1238019.0,0.6321,0.0389,0.6802,0.0031,,,,,,,,
l_t,PyG,CoauthorCS,node,True,,,generalconv,2,4,2,stack,False,relu,0.3,add,adam,0.1,399,2.4089,0.0013,1150444.0,0.6348,0.0204,0.2249,0.0003,,,,,,,,
l_t,PyG,CoauthorCS,node,True,,,gmulconv,2,2,3,skipsum,True,swish,0.6,add,sgd,0.01,399,1.5256,0.026,1238343.0,0.6806,0.0159,0.5194,0.0127,,,,,,,,
l_t,PyG,CoauthorCS,node,True,,,gmulconv,2,4,2,stack,False,relu,0.3,add,adam,0.1,399,2.2632,0.1043,1142427.0,0.6707,0.0321,0.2555,0.0276,,,,,,,,
l_t,PyG,CoauthorPhysics,node,True,,,gaddconv,1,8,2,stack,True,relu,0.6,mean,sgd,0.001,99,2.0977,0.0117,1144325.0,1.6201,0.0288,0.3667,0.0044,,,,,,,,
l_t,PyG,CoauthorPhysics,node,True,,,gaddconv,2,8,2,skipconcat,True,relu,0.3,add,sgd,0.1,99,0.1318,0.0032,425889.0,1.6012,0.0221,0.9578,0.0007,,,,,,,,
l_t,PyG,CoauthorPhysics,node,True,,,gaddconv,3,4,3,skipconcat,False,prelu,0.6,mean,sgd,0.01,199,1.2677,0.0266,534819.0,1.4971,0.0326,0.5083,0.0013,,,,,,,,
l_t,PyG,CoauthorPhysics,node,True,,,generalconv,1,8,2,stack,True,relu,0.6,mean,sgd,0.001,99,1.2181,0.0365,1153014.0,1.5187,0.0228,0.6013,0.0147,,,,,,,,
l_t,PyG,CoauthorPhysics,node,True,,,generalconv,2,8,2,skipconcat,True,relu,0.3,add,sgd,0.1,99,0.1276,0.0027,425345.0,1.5548,0.0446,0.9595,0.0011,,,,,,,,
l_t,PyG,CoauthorPhysics,node,True,,,generalconv,3,4,3,skipconcat,False,prelu,0.6,mean,sgd,0.01,199,0.5276,0.1463,534443.0,1.3713,0.0294,0.8099,0.0705,,,,,,,,
l_t,PyG,CoauthorPhysics,node,True,,,gmulconv,1,8,2,stack,True,relu,0.6,mean,sgd,0.001,99,2.1463,0.0432,1143365.0,1.6306,0.052,0.3479,0.013,,,,,,,,
l_t,PyG,CoauthorPhysics,node,True,,,gmulconv,2,8,2,skipconcat,True,relu,0.3,add,sgd,0.1,99,0.1865,0.0089,425617.0,1.5539,0.0244,0.945,0.0025,,,,,,,,
l_t,PyG,CoauthorPhysics,node,True,,,gmulconv,3,4,3,skipconcat,False,prelu,0.6,mean,sgd,0.01,199,1.1521,0.0802,534631.0,1.2852,0.042,0.5645,0.0372,,,,,,,,
l_t,PyG,Cora,node,True,,,gaddconv,1,2,2,skipsum,True,relu,0.0,mean,sgd,0.001,99,1.4471,0.0332,434518.0,0.0244,0.0004,0.4776,0.0197,,,,,,,,
l_t,PyG,Cora,node,True,,,gaddconv,2,8,1,stack,False,swish,0.3,max,sgd,0.1,199,1.8313,0.002,309162.0,0.0403,0.0026,0.3041,0.0029,,,,,,,,
l_t,PyG,Cora,node,True,,,gaddconv,3,4,2,skipconcat,True,relu,0.0,max,sgd,0.01,199,0.0529,0.0014,223207.0,0.0302,0.0061,0.9997,0.0004,,,,,,,,
